model_name,dataset_name,subset_name,test_size,prompt_name,accuracy
bigscience/T0_3B,super_glue,rte,200,MNLI crowdsource,0.66
bigscience/T0_3B,super_glue,rte,200,guaranteed true,0.705
bigscience/T0_3B,super_glue,rte,200,can we infer,0.58
bigscience/T0_3B,super_glue,rte,200,GPT-3 style,0.64
bigscience/T0_3B,super_glue,rte,200,does this imply,0.68
bigscience/T0_3B,super_glue,rte,200,should assume,0.69
bigscience/T0_3B,super_glue,rte,200,does it follow that,0.645
bigscience/T0_3B,super_glue,rte,200,based on the previous passage,0.715
bigscience/T0_3B,super_glue,rte,200,justified in saying,0.64
bigscience/T0_3B,super_glue,rte,200,must be true,0.725
bigscience/T0_3B,super_glue,cb,56,can we infer,0.42857142857142855
bigscience/T0_3B,super_glue,cb,56,based on the previous passage,0.44642857142857145
bigscience/T0_3B,super_glue,cb,56,claim true/false/inconclusive,0.05357142857142857
bigscience/T0_3B,super_glue,cb,56,does it follow that,0.625
bigscience/T0_3B,super_glue,cb,56,justified in saying,0.5714285714285714
bigscience/T0_3B,super_glue,cb,56,always/sometimes/never,0.0
bigscience/T0_3B,super_glue,cb,56,GPT-3 style,0.5178571428571429
bigscience/T0_3B,super_glue,cb,56,consider always/sometimes/never,0.0
bigscience/T0_3B,super_glue,cb,56,guaranteed true,0.4642857142857143
bigscience/T0_3B,super_glue,cb,56,must be true,0.5
bigscience/T0_3B,super_glue,cb,56,guaranteed/possible/impossible,0.0
bigscience/T0_3B,super_glue,cb,56,does this imply,0.6071428571428571
bigscience/T0_3B,super_glue,cb,56,MNLI crowdsource,0.0
bigscience/T0_3B,super_glue,cb,56,should assume,0.625
bigscience/T0_3B,super_glue,cb,56,take the following as truth,0.125
bigscience/T0_3B,anli,,200,MNLI crowdsource,0.0
bigscience/T0_3B,anli,,200,should assume,0.34
bigscience/T0_3B,anli,,200,does it follow that,0.35
bigscience/T0_3B,anli,,200,GPT-3 style,0.345
bigscience/T0_3B,anli,,200,based on the previous passage,0.345
bigscience/T0_3B,anli,,200,justified in saying,0.335
bigscience/T0_3B,anli,,200,take the following as truth,0.28
bigscience/T0_3B,anli,,200,must be true,0.305
bigscience/T0_3B,anli,,200,can we infer,0.355
bigscience/T0_3B,anli,,200,guaranteed/possible/impossible,0.0
bigscience/T0_3B,anli,,200,always/sometimes/never,0.0
bigscience/T0_3B,anli,,200,does this imply,0.345
bigscience/T0_3B,anli,,200,consider always/sometimes/never,0.0
bigscience/T0_3B,anli,,200,claim true/false/inconclusive,0.12
bigscience/T0_3B,anli,,200,guaranteed true,0.29
bigscience/T0_3B,super_glue,wsc.fixed,104,does the pronoun refer to,0.6730769230769231
bigscience/T0_3B,super_glue,wsc.fixed,104,by p they mean,0.6153846153846154
bigscience/T0_3B,super_glue,wsc.fixed,104,in other words,0.6634615384615384
bigscience/T0_3B,super_glue,wsc.fixed,104,I think they mean,0.6634615384615384
bigscience/T0_3B,super_glue,wsc.fixed,104,does p stand for,0.6730769230769231
bigscience/T0_3B,super_glue,wsc.fixed,104,GPT-3 Style,0.5192307692307693
bigscience/T0_3B,super_glue,wsc.fixed,104,replaced with,0.5288461538461539
bigscience/T0_3B,super_glue,wsc.fixed,104,p is/are r,0.625
bigscience/T0_3B,super_glue,wsc.fixed,104,the pronoun refers to,0.6346153846153846
bigscience/T0_3B,super_glue,wsc.fixed,104,Who or what is/are,0.2403846153846154
bigscience/T0_3B,winogrande,winogrande_xl,200,does underscore refer to,0.46
bigscience/T0_3B,winogrande,winogrande_xl,200,stand for,0.465
bigscience/T0_3B,winogrande,winogrande_xl,200,underscore refer to,0.515
bigscience/T0_3B,winogrande,winogrande_xl,200,fill in the blank,0.475
bigscience/T0_3B,winogrande,winogrande_xl,200,Replace,0.505
bigscience/T0_3B,super_glue,wic,200,question-context-meaning-with-label,0.27
bigscience/T0_3B,super_glue,wic,200,question-context-meaning,0.0
bigscience/T0_3B,super_glue,wic,200,grammar_homework,0.09
bigscience/T0_3B,super_glue,wic,200,affirmation_true_or_false,0.465
bigscience/T0_3B,super_glue,wic,200,GPT-3-prompt,0.0
bigscience/T0_3B,super_glue,wic,200,same_sense,0.49
bigscience/T0_3B,super_glue,wic,200,question-context,0.005
bigscience/T0_3B,super_glue,wic,200,GPT-3-prompt-with-label,0.475
bigscience/T0_3B,super_glue,wic,200,polysemous,0.485
bigscience/T0_3B,super_glue,wic,200,similar-sense,0.025
bigscience/T0_3B,hellaswag,,200,Predict ending with hint,0.0
bigscience/T0_3B,hellaswag,,200,Randomized prompts template,0.02
bigscience/T0_3B,hellaswag,,200,complete_first_then,0.005
bigscience/T0_3B,hellaswag,,200,if_begins_how_continues,0.01
bigscience/T0_3B,super_glue,copa,100,exercise,0.8
bigscience/T0_3B,super_glue,copa,48,"…What could happen next, C1 or C2?",0.6458333333333334
bigscience/T0_3B,super_glue,copa,100,i_am_hesitating,0.79
bigscience/T0_3B,super_glue,copa,100,plausible_alternatives,0.84
bigscience/T0_3B,super_glue,copa,100,"C1 or C2? premise, so/because…",0.52
bigscience/T0_3B,super_glue,copa,48,"…As a result, C1 or C2?",0.5416666666666666
bigscience/T0_3B,super_glue,copa,100,best_option,0.68
bigscience/T0_3B,super_glue,copa,52,…which may be caused by,0.5961538461538461
bigscience/T0_3B,super_glue,copa,100,more likely,0.79
bigscience/T0_3B,super_glue,copa,100,cause_effect,0.73
bigscience/T0_3B,super_glue,copa,52,…why? C1 or C2,0.6730769230769231
bigscience/T0_3B,super_glue,copa,100,choose,0.8
