model_name,dataset_name,subset_name,test_size,prompt_name,accuracy
bigscience/T0,super_glue,rte,200,MNLI crowdsource,0.875
bigscience/T0,super_glue,rte,200,guaranteed true,0.805
bigscience/T0,super_glue,rte,200,can we infer,0.815
bigscience/T0,super_glue,rte,200,GPT-3 style,0.86
bigscience/T0,super_glue,rte,200,does this imply,0.83
bigscience/T0,super_glue,rte,200,should assume,0.845
bigscience/T0,super_glue,rte,200,does it follow that,0.735
bigscience/T0,super_glue,rte,200,based on the previous passage,0.87
bigscience/T0,super_glue,rte,200,justified in saying,0.76
bigscience/T0,super_glue,rte,200,must be true,0.855
bigscience/T0,super_glue,cb,56,can we infer,0.7857142857142857
bigscience/T0,super_glue,cb,56,based on the previous passage,0.8035714285714286
bigscience/T0,super_glue,cb,56,claim true/false/inconclusive,0.017857142857142856
bigscience/T0,super_glue,cb,56,does it follow that,0.7321428571428571
bigscience/T0,super_glue,cb,56,justified in saying,0.7678571428571429
bigscience/T0,super_glue,cb,56,always/sometimes/never,0.0
bigscience/T0,super_glue,cb,56,GPT-3 style,0.7678571428571429
bigscience/T0,super_glue,cb,56,consider always/sometimes/never,0.0
bigscience/T0,super_glue,cb,56,guaranteed true,0.7678571428571429
bigscience/T0,super_glue,cb,56,must be true,0.8035714285714286
bigscience/T0,super_glue,cb,56,guaranteed/possible/impossible,0.0
bigscience/T0,super_glue,cb,56,does this imply,0.8035714285714286
bigscience/T0,super_glue,cb,56,MNLI crowdsource,0.0
bigscience/T0,super_glue,cb,56,should assume,0.7857142857142857
bigscience/T0,super_glue,cb,56,take the following as truth,0.0
bigscience/T0,anli,,200,MNLI crowdsource,0.0
bigscience/T0,anli,,200,should assume,0.405
bigscience/T0,anli,,200,does it follow that,0.42
bigscience/T0,anli,,200,GPT-3 style,0.445
bigscience/T0,anli,,200,based on the previous passage,0.42
bigscience/T0,anli,,200,justified in saying,0.41
bigscience/T0,anli,,200,take the following as truth,0.07
bigscience/T0,anli,,200,must be true,0.43
bigscience/T0,anli,,200,can we infer,0.42
bigscience/T0,anli,,200,guaranteed/possible/impossible,0.0
bigscience/T0,anli,,200,always/sometimes/never,0.0
bigscience/T0,anli,,200,does this imply,0.42
bigscience/T0,anli,,200,consider always/sometimes/never,0.0
bigscience/T0,anli,,200,claim true/false/inconclusive,0.035
bigscience/T0,anli,,200,guaranteed true,0.395
bigscience/T0,super_glue,wsc.fixed,104,does the pronoun refer to,0.6442307692307693
bigscience/T0,super_glue,wsc.fixed,104,by p they mean,0.5961538461538461
bigscience/T0,super_glue,wsc.fixed,104,in other words,0.6634615384615384
bigscience/T0,super_glue,wsc.fixed,104,I think they mean,0.6923076923076923
bigscience/T0,super_glue,wsc.fixed,104,does p stand for,0.6634615384615384
bigscience/T0,super_glue,wsc.fixed,104,GPT-3 Style,0.33653846153846156
bigscience/T0,super_glue,wsc.fixed,104,replaced with,0.5096153846153846
bigscience/T0,super_glue,wsc.fixed,104,p is/are r,0.5
bigscience/T0,super_glue,wsc.fixed,104,the pronoun refers to,0.5961538461538461
bigscience/T0,super_glue,wsc.fixed,104,Who or what is/are,0.009615384615384616
bigscience/T0,winogrande,winogrande_xl,200,does underscore refer to,0.62
bigscience/T0,winogrande,winogrande_xl,200,stand for,0.6
bigscience/T0,winogrande,winogrande_xl,200,underscore refer to,0.63
bigscience/T0,winogrande,winogrande_xl,200,fill in the blank,0.575
bigscience/T0,winogrande,winogrande_xl,200,Replace,0.55
bigscience/T0,super_glue,wic,200,question-context-meaning-with-label,0.01
bigscience/T0,super_glue,wic,200,question-context-meaning,0.0
bigscience/T0,super_glue,wic,200,grammar_homework,0.0
bigscience/T0,super_glue,wic,200,affirmation_true_or_false,0.515
bigscience/T0,super_glue,wic,200,GPT-3-prompt,0.0
bigscience/T0,super_glue,wic,200,same_sense,0.61
bigscience/T0,super_glue,wic,200,question-context,0.0
bigscience/T0,super_glue,wic,200,GPT-3-prompt-with-label,0.515
bigscience/T0,super_glue,wic,200,polysemous,0.62
bigscience/T0,super_glue,wic,200,similar-sense,0.0
bigscience/T0,hellaswag,,200,Predict ending with hint,0.02
bigscience/T0,hellaswag,,200,Randomized prompts template,0.03
bigscience/T0,hellaswag,,200,complete_first_then,0.025
bigscience/T0,hellaswag,,200,if_begins_how_continues,0.035
bigscience/T0,super_glue,copa,100,exercise,0.91
bigscience/T0,super_glue,copa,48,"…What could happen next, C1 or C2?",0.875
bigscience/T0,super_glue,copa,100,i_am_hesitating,0.94
bigscience/T0,super_glue,copa,100,plausible_alternatives,0.94
bigscience/T0,super_glue,copa,100,"C1 or C2? premise, so/because…",0.32
bigscience/T0,super_glue,copa,48,"…As a result, C1 or C2?",0.6666666666666666
bigscience/T0,super_glue,copa,100,best_option,0.86
bigscience/T0,super_glue,copa,52,…which may be caused by,0.6153846153846154
bigscience/T0,super_glue,copa,100,more likely,0.93
bigscience/T0,super_glue,copa,100,cause_effect,0.93
bigscience/T0,super_glue,copa,52,…why? C1 or C2,0.7692307692307693
bigscience/T0,super_glue,copa,100,choose,0.96
