model_name,dataset_name,subset_name,test_size,prompt_name,accuracy
google/flan-t5-xl,super_glue,rte,200,MNLI crowdsource,0.855
google/flan-t5-xl,super_glue,rte,200,guaranteed true,0.585
google/flan-t5-xl,super_glue,rte,200,can we infer,0.76
google/flan-t5-xl,super_glue,rte,200,GPT-3 style,0.42
google/flan-t5-xl,super_glue,rte,200,does this imply,0.81
google/flan-t5-xl,super_glue,rte,200,should assume,0.645
google/flan-t5-xl,super_glue,rte,200,does it follow that,0.53
google/flan-t5-xl,super_glue,rte,200,based on the previous passage,0.695
google/flan-t5-xl,super_glue,rte,200,justified in saying,0.645
google/flan-t5-xl,super_glue,rte,200,must be true,0.685
google/flan-t5-xl,super_glue,cb,56,can we infer,0.7857142857142857
google/flan-t5-xl,super_glue,cb,56,based on the previous passage,0.8035714285714286
google/flan-t5-xl,super_glue,cb,56,claim true/false/inconclusive,0.0
google/flan-t5-xl,super_glue,cb,56,does it follow that,0.75
google/flan-t5-xl,super_glue,cb,56,justified in saying,0.75
google/flan-t5-xl,super_glue,cb,56,always/sometimes/never,0.0
google/flan-t5-xl,super_glue,cb,56,GPT-3 style,0.875
google/flan-t5-xl,super_glue,cb,56,consider always/sometimes/never,0.0
google/flan-t5-xl,super_glue,cb,56,guaranteed true,0.6428571428571429
google/flan-t5-xl,super_glue,cb,56,must be true,0.5535714285714286
google/flan-t5-xl,super_glue,cb,56,guaranteed/possible/impossible,0.0
google/flan-t5-xl,super_glue,cb,56,does this imply,0.7857142857142857
google/flan-t5-xl,super_glue,cb,56,MNLI crowdsource,0.0
google/flan-t5-xl,super_glue,cb,56,should assume,0.8035714285714286
google/flan-t5-xl,super_glue,cb,56,take the following as truth,0.14285714285714285
google/flan-t5-xl,anli,,200,MNLI crowdsource,0.005
google/flan-t5-xl,anli,,200,should assume,0.47
google/flan-t5-xl,anli,,200,does it follow that,0.445
google/flan-t5-xl,anli,,200,GPT-3 style,0.515
google/flan-t5-xl,anli,,200,based on the previous passage,0.505
google/flan-t5-xl,anli,,200,justified in saying,0.53
google/flan-t5-xl,anli,,200,take the following as truth,0.14
google/flan-t5-xl,anli,,200,must be true,0.475
google/flan-t5-xl,anli,,200,can we infer,0.435
google/flan-t5-xl,anli,,200,guaranteed/possible/impossible,0.0
google/flan-t5-xl,anli,,200,always/sometimes/never,0.0
google/flan-t5-xl,anli,,200,does this imply,0.52
google/flan-t5-xl,anli,,200,consider always/sometimes/never,0.0
google/flan-t5-xl,anli,,200,claim true/false/inconclusive,0.02
google/flan-t5-xl,anli,,200,guaranteed true,0.475
google/flan-t5-xl,super_glue,wsc.fixed,104,does the pronoun refer to,0.6442307692307693
google/flan-t5-xl,super_glue,wsc.fixed,104,by p they mean,0.5673076923076923
google/flan-t5-xl,super_glue,wsc.fixed,104,in other words,0.36538461538461536
google/flan-t5-xl,super_glue,wsc.fixed,104,I think they mean,0.5769230769230769
google/flan-t5-xl,super_glue,wsc.fixed,104,does p stand for,0.625
google/flan-t5-xl,super_glue,wsc.fixed,104,GPT-3 Style,0.6153846153846154
google/flan-t5-xl,super_glue,wsc.fixed,104,replaced with,0.5865384615384616
google/flan-t5-xl,super_glue,wsc.fixed,104,p is/are r,0.47115384615384615
google/flan-t5-xl,super_glue,wsc.fixed,104,the pronoun refers to,0.3269230769230769
google/flan-t5-xl,super_glue,wsc.fixed,104,Who or what is/are,0.14423076923076922
google/flan-t5-xl,winogrande,winogrande_xl,200,does underscore refer to,0.61
google/flan-t5-xl,winogrande,winogrande_xl,200,stand for,0.495
google/flan-t5-xl,winogrande,winogrande_xl,200,underscore refer to,0.72
google/flan-t5-xl,winogrande,winogrande_xl,200,fill in the blank,0.72
google/flan-t5-xl,winogrande,winogrande_xl,200,Replace,0.78
google/flan-t5-xl,super_glue,wic,200,question-context-meaning-with-label,0.365
google/flan-t5-xl,super_glue,wic,200,question-context-meaning,0.0
google/flan-t5-xl,super_glue,wic,200,grammar_homework,0.0
google/flan-t5-xl,super_glue,wic,200,affirmation_true_or_false,0.43
google/flan-t5-xl,super_glue,wic,200,GPT-3-prompt,0.0
google/flan-t5-xl,super_glue,wic,200,same_sense,0.305
google/flan-t5-xl,super_glue,wic,200,question-context,0.015
google/flan-t5-xl,super_glue,wic,200,GPT-3-prompt-with-label,0.275
google/flan-t5-xl,super_glue,wic,200,polysemous,0.325
google/flan-t5-xl,super_glue,wic,200,similar-sense,0.0
google/flan-t5-xl,hellaswag,,200,Predict ending with hint,0.0
google/flan-t5-xl,hellaswag,,200,Randomized prompts template,0.005
google/flan-t5-xl,hellaswag,,200,complete_first_then,0.01
google/flan-t5-xl,hellaswag,,200,if_begins_how_continues,0.035
google/flan-t5-xl,super_glue,copa,100,exercise,0.72
google/flan-t5-xl,super_glue,copa,48,"…What could happen next, C1 or C2?",0.4375
google/flan-t5-xl,super_glue,copa,100,i_am_hesitating,0.8
google/flan-t5-xl,super_glue,copa,100,plausible_alternatives,0.77
google/flan-t5-xl,super_glue,copa,100,"C1 or C2? premise, so/because…",0.1
google/flan-t5-xl,super_glue,copa,48,"…As a result, C1 or C2?",0.10416666666666667
google/flan-t5-xl,super_glue,copa,100,best_option,0.72
google/flan-t5-xl,super_glue,copa,52,…which may be caused by,0.1346153846153846
google/flan-t5-xl,super_glue,copa,100,more likely,0.74
google/flan-t5-xl,super_glue,copa,100,cause_effect,0.82
google/flan-t5-xl,super_glue,copa,52,…why? C1 or C2,0.21153846153846154
google/flan-t5-xl,super_glue,copa,100,choose,0.71
