model_name,dataset_name,subset_name,test_size,prompt_name,accuracy
google/flan-t5-xxl,super_glue,rte,200,MNLI crowdsource,0.295
google/flan-t5-xxl,super_glue,rte,200,guaranteed true,0.33
google/flan-t5-xxl,super_glue,rte,200,can we infer,0.325
google/flan-t5-xxl,super_glue,rte,200,GPT-3 style,0.475
google/flan-t5-xxl,super_glue,rte,200,does this imply,0.42
google/flan-t5-xxl,super_glue,rte,200,should assume,0.64
google/flan-t5-xxl,super_glue,rte,200,does it follow that,0.43
google/flan-t5-xxl,super_glue,rte,200,based on the previous passage,0.715
google/flan-t5-xxl,super_glue,rte,200,justified in saying,0.485
google/flan-t5-xxl,super_glue,rte,200,must be true,0.69
google/flan-t5-xxl,super_glue,cb,56,can we infer,0.4107142857142857
google/flan-t5-xxl,super_glue,cb,56,based on the previous passage,0.6428571428571429
google/flan-t5-xxl,super_glue,cb,56,claim true/false/inconclusive,0.08928571428571429
google/flan-t5-xxl,super_glue,cb,56,does it follow that,0.44642857142857145
google/flan-t5-xxl,super_glue,cb,56,justified in saying,0.39285714285714285
google/flan-t5-xxl,super_glue,cb,56,always/sometimes/never,0.017857142857142856
google/flan-t5-xxl,super_glue,cb,56,GPT-3 style,0.44642857142857145
google/flan-t5-xxl,super_glue,cb,56,consider always/sometimes/never,0.017857142857142856
google/flan-t5-xxl,super_glue,cb,56,guaranteed true,0.42857142857142855
google/flan-t5-xxl,super_glue,cb,56,must be true,0.32142857142857145
google/flan-t5-xxl,super_glue,cb,56,guaranteed/possible/impossible,0.0
google/flan-t5-xxl,super_glue,cb,56,does this imply,0.42857142857142855
google/flan-t5-xxl,super_glue,cb,56,MNLI crowdsource,0.17857142857142858
google/flan-t5-xxl,super_glue,cb,56,should assume,0.6428571428571429
google/flan-t5-xxl,super_glue,cb,56,take the following as truth,0.48214285714285715
google/flan-t5-xxl,anli,,200,MNLI crowdsource,0.13
google/flan-t5-xxl,anli,,200,should assume,0.39
google/flan-t5-xxl,anli,,200,does it follow that,0.3
google/flan-t5-xxl,anli,,200,GPT-3 style,0.295
google/flan-t5-xxl,anli,,200,based on the previous passage,0.38
google/flan-t5-xxl,anli,,200,justified in saying,0.375
google/flan-t5-xxl,anli,,200,take the following as truth,0.275
google/flan-t5-xxl,anli,,200,must be true,0.175
google/flan-t5-xxl,anli,,200,can we infer,0.325
google/flan-t5-xxl,anli,,200,guaranteed/possible/impossible,0.0
google/flan-t5-xxl,anli,,200,always/sometimes/never,0.0
google/flan-t5-xxl,anli,,200,does this imply,0.39
google/flan-t5-xxl,anli,,200,consider always/sometimes/never,0.06
google/flan-t5-xxl,anli,,200,claim true/false/inconclusive,0.065
google/flan-t5-xxl,anli,,200,guaranteed true,0.33
google/flan-t5-xxl,super_glue,wsc.fixed,104,does the pronoun refer to,0.6346153846153846
google/flan-t5-xxl,super_glue,wsc.fixed,104,by p they mean,0.5865384615384616
google/flan-t5-xxl,super_glue,wsc.fixed,104,in other words,0.2403846153846154
google/flan-t5-xxl,super_glue,wsc.fixed,104,I think they mean,0.47115384615384615
google/flan-t5-xxl,super_glue,wsc.fixed,104,does p stand for,0.6057692307692307
google/flan-t5-xxl,super_glue,wsc.fixed,104,GPT-3 Style,0.028846153846153848
