checkpoint,dataset_name,subset_name,test_size,time,prompt_name,accuracy
bigscience/T0,super_glue,rte,200,9.121437549591064,MNLI crowdsource,0.875
bigscience/T0,super_glue,rte,200,8.633617401123047,guaranteed true,0.805
bigscience/T0,super_glue,rte,200,8.655470371246338,can we infer,0.82
bigscience/T0,super_glue,rte,200,8.85580587387085,GPT-3 style,0.86
bigscience/T0,super_glue,rte,200,8.68958044052124,does this imply,0.83
bigscience/T0,super_glue,rte,200,8.71242880821228,should assume,0.845
bigscience/T0,super_glue,rte,200,8.56535816192627,does it follow that,0.75
bigscience/T0,super_glue,rte,200,8.897898197174072,based on the previous passage,0.87
bigscience/T0,super_glue,rte,200,8.73601245880127,justified in saying,0.76
bigscience/T0,super_glue,rte,200,8.890494108200073,must be true,0.855
bigscience/T0,super_glue,cb,56,3.4903974533081055,can we infer,0.7857142857142857
bigscience/T0,super_glue,cb,56,3.5197813510894775,based on the previous passage,0.8035714285714286
bigscience/T0,super_glue,cb,56,3.622821807861328,claim true/false/inconclusive,0.7142857142857143
bigscience/T0,super_glue,cb,56,3.395395040512085,does it follow that,0.75
bigscience/T0,super_glue,cb,56,3.4720938205718994,justified in saying,0.7678571428571429
bigscience/T0,super_glue,cb,56,3.53208327293396,always/sometimes/never,0.6964285714285714
bigscience/T0,super_glue,cb,56,3.58095383644104,GPT-3 style,0.7678571428571429
bigscience/T0,super_glue,cb,56,3.538532257080078,consider always/sometimes/never,0.6071428571428571
bigscience/T0,super_glue,cb,56,3.511261224746704,guaranteed true,0.75
bigscience/T0,super_glue,cb,56,3.5034406185150146,must be true,0.8035714285714286
bigscience/T0,super_glue,cb,56,3.505401372909546,guaranteed/possible/impossible,0.39285714285714285
bigscience/T0,super_glue,cb,56,3.529745578765869,does this imply,0.8035714285714286
bigscience/T0,super_glue,cb,56,3.872917890548706,MNLI crowdsource,0.6785714285714286
bigscience/T0,super_glue,cb,56,3.5286431312561035,should assume,0.7857142857142857
bigscience/T0,super_glue,cb,56,3.8743066787719727,take the following as truth,0.7321428571428571
bigscience/T0,anli,,200,7.373761177062988,MNLI crowdsource,0.42
bigscience/T0,anli,,200,6.653892755508423,should assume,0.405
