dataset_name,subset_name,test_size,prompt_name,checkpoint,accuracy,time
super_glue,rte,100,MNLI crowdsource,bigscience/T0_3B,0.62,1.352867603302002
super_glue,rte,100,guaranteed true,bigscience/T0_3B,0.64,1.191697359085083
super_glue,rte,100,can we infer,bigscience/T0_3B,0.6,1.1903681755065918
super_glue,rte,100,GPT-3 style,bigscience/T0_3B,0.64,1.3019585609436035
super_glue,rte,100,does this imply,bigscience/T0_3B,0.65,1.191927433013916
super_glue,rte,100,should assume,bigscience/T0_3B,0.66,1.1910638809204102
super_glue,rte,100,does it follow that,bigscience/T0_3B,0.64,1.1698849201202393
super_glue,rte,100,based on the previous passage,bigscience/T0_3B,0.68,1.2091553211212158
super_glue,rte,100,justified in saying,bigscience/T0_3B,0.61,1.1857733726501465
super_glue,rte,100,must be true,bigscience/T0_3B,0.71,1.208545207977295
super_glue,cb,56,can we infer,bigscience/T0_3B,0.5535714285714286,1.1768221855163574
super_glue,cb,56,based on the previous passage,bigscience/T0_3B,0.4642857142857143,1.0465826988220215
super_glue,cb,56,claim true/false/inconclusive,bigscience/T0_3B,0.5714285714285714,1.1323976516723633
super_glue,cb,56,does it follow that,bigscience/T0_3B,0.6071428571428571,1.021449089050293
super_glue,cb,56,justified in saying,bigscience/T0_3B,0.5714285714285714,1.0371711254119873
super_glue,cb,56,always/sometimes/never,bigscience/T0_3B,0.42857142857142855,1.073944330215454
super_glue,cb,56,GPT-3 style,bigscience/T0_3B,0.5178571428571429,1.098797082901001
super_glue,cb,56,consider always/sometimes/never,bigscience/T0_3B,0.07142857142857142,1.052410364151001
super_glue,cb,56,guaranteed true,bigscience/T0_3B,0.4642857142857143,1.0453150272369385
super_glue,cb,56,must be true,bigscience/T0_3B,0.5178571428571429,1.0424084663391113
super_glue,cb,56,guaranteed/possible/impossible,bigscience/T0_3B,0.25,1.0437989234924316
super_glue,cb,56,does this imply,bigscience/T0_3B,0.5892857142857143,1.0469629764556885
super_glue,cb,56,MNLI crowdsource,bigscience/T0_3B,0.07142857142857142,1.2580549716949463
super_glue,cb,56,should assume,bigscience/T0_3B,0.625,1.0457913875579834
super_glue,cb,56,take the following as truth,bigscience/T0_3B,0.4642857142857143,1.1716272830963135
anli,,100,MNLI crowdsource,bigscience/T0_3B,0.09,1.345806360244751
anli,,100,should assume,bigscience/T0_3B,0.38,0.9933195114135742
anli,,100,does it follow that,bigscience/T0_3B,0.4,0.9652159214019775
anli,,100,GPT-3 style,bigscience/T0_3B,0.36,1.1004862785339355
anli,,100,based on the previous passage,bigscience/T0_3B,0.38,1.0096235275268555
anli,,100,justified in saying,bigscience/T0_3B,0.37,0.9948158264160156
anli,,100,take the following as truth,bigscience/T0_3B,0.42,1.2004380226135254
anli,,100,must be true,bigscience/T0_3B,0.34,1.0024919509887695
anli,,100,can we infer,bigscience/T0_3B,0.4,0.9968922138214111
anli,,100,guaranteed/possible/impossible,bigscience/T0_3B,0.32,1.0010745525360107
anli,,100,always/sometimes/never,bigscience/T0_3B,0.29,1.0110242366790771
anli,,100,does this imply,bigscience/T0_3B,0.37,0.9968194961547852
anli,,100,consider always/sometimes/never,bigscience/T0_3B,0.19,1.0128796100616455
anli,,100,claim true/false/inconclusive,bigscience/T0_3B,0.36,1.149162769317627
anli,,100,guaranteed true,bigscience/T0_3B,0.32,0.9982643127441406
super_glue,wsc.fixed,100,does the pronoun refer to,bigscience/T0_3B,0.68,0.6589481830596924
super_glue,wsc.fixed,100,by p they mean,bigscience/T0_3B,0.62,0.610567569732666
super_glue,wsc.fixed,100,in other words,bigscience/T0_3B,0.68,1.0652554035186768
super_glue,wsc.fixed,100,I think they mean,bigscience/T0_3B,0.66,0.9345798492431641
super_glue,wsc.fixed,100,does p stand for,bigscience/T0_3B,0.66,0.6120545864105225
super_glue,wsc.fixed,100,GPT-3 Style,bigscience/T0_3B,0.57,0.761756181716919
super_glue,wsc.fixed,100,replaced with,bigscience/T0_3B,0.63,0.6795001029968262
super_glue,wsc.fixed,100,p is/are r,bigscience/T0_3B,0.62,0.7580175399780273
super_glue,wsc.fixed,100,the pronoun refers to,bigscience/T0_3B,0.64,0.7922651767730713
super_glue,wsc.fixed,100,Who or what is/are,bigscience/T0_3B,0.25,1.0390839576721191
winogrande,winogrande_xl,100,does underscore refer to,bigscience/T0_3B,0.45,0.6398463249206543
winogrande,winogrande_xl,100,stand for,bigscience/T0_3B,0.48,0.6203527450561523
winogrande,winogrande_xl,100,underscore refer to,bigscience/T0_3B,0.53,0.6086254119873047
winogrande,winogrande_xl,100,fill in the blank,bigscience/T0_3B,0.46,0.5708568096160889
winogrande,winogrande_xl,100,Replace,bigscience/T0_3B,0.52,0.5459423065185547
