checkpoint,dataset_name,subset_name,test_size,time,prompt_name,accuracy
bigscience/T0_3B,super_glue,rte,200,2.904905080795288,MNLI crowdsource,0.66
bigscience/T0_3B,super_glue,rte,200,2.6959617137908936,guaranteed true,0.705
bigscience/T0_3B,super_glue,rte,200,2.6911096572875977,can we infer,0.655
bigscience/T0_3B,super_glue,rte,200,2.8564205169677734,GPT-3 style,0.64
bigscience/T0_3B,super_glue,rte,200,2.6974291801452637,does this imply,0.68
bigscience/T0_3B,super_glue,rte,200,2.699467420578003,should assume,0.69
bigscience/T0_3B,super_glue,rte,200,2.633639097213745,does it follow that,0.645
bigscience/T0_3B,super_glue,rte,200,2.733222246170044,based on the previous passage,0.715
bigscience/T0_3B,super_glue,rte,200,2.6945457458496094,justified in saying,0.65
bigscience/T0_3B,super_glue,rte,200,2.727379560470581,must be true,0.725
bigscience/T0_3B,super_glue,cb,56,1.1853063106536865,can we infer,0.5535714285714286
bigscience/T0_3B,super_glue,cb,56,1.0580735206604004,based on the previous passage,0.4642857142857143
bigscience/T0_3B,super_glue,cb,56,1.143742561340332,claim true/false/inconclusive,0.5714285714285714
bigscience/T0_3B,super_glue,cb,56,1.034301519393921,does it follow that,0.6071428571428571
bigscience/T0_3B,super_glue,cb,56,1.0466489791870117,justified in saying,0.5714285714285714
bigscience/T0_3B,super_glue,cb,56,1.083681344985962,always/sometimes/never,0.42857142857142855
bigscience/T0_3B,super_glue,cb,56,1.105576992034912,GPT-3 style,0.5178571428571429
bigscience/T0_3B,super_glue,cb,56,1.062875747680664,consider always/sometimes/never,0.07142857142857142
bigscience/T0_3B,super_glue,cb,56,1.0542540550231934,guaranteed true,0.4642857142857143
bigscience/T0_3B,super_glue,cb,56,1.0510952472686768,must be true,0.5178571428571429
bigscience/T0_3B,super_glue,cb,56,1.0519263744354248,guaranteed/possible/impossible,0.25
bigscience/T0_3B,super_glue,cb,56,1.0554695129394531,does this imply,0.5892857142857143
bigscience/T0_3B,super_glue,cb,56,1.265486717224121,MNLI crowdsource,0.07142857142857142
bigscience/T0_3B,super_glue,cb,56,1.057133674621582,should assume,0.625
bigscience/T0_3B,super_glue,cb,56,1.1808311939239502,take the following as truth,0.4642857142857143
bigscience/T0_3B,anli,,200,2.6547398567199707,MNLI crowdsource,0.085
bigscience/T0_3B,anli,,200,2.0256519317626953,should assume,0.34
bigscience/T0_3B,anli,,200,1.9820635318756104,does it follow that,0.35
bigscience/T0_3B,anli,,200,2.19134783744812,GPT-3 style,0.345
bigscience/T0_3B,anli,,200,2.0707993507385254,based on the previous passage,0.345
bigscience/T0_3B,anli,,200,2.023267984390259,justified in saying,0.335
bigscience/T0_3B,anli,,200,2.3820838928222656,take the following as truth,0.39
bigscience/T0_3B,anli,,200,2.0568835735321045,must be true,0.305
bigscience/T0_3B,anli,,200,2.0320560932159424,can we infer,0.355
bigscience/T0_3B,anli,,200,2.061077117919922,guaranteed/possible/impossible,0.36
bigscience/T0_3B,anli,,200,2.08581805229187,always/sometimes/never,0.265
bigscience/T0_3B,anli,,200,2.038135528564453,does this imply,0.345
bigscience/T0_3B,anli,,200,2.0862021446228027,consider always/sometimes/never,0.165
bigscience/T0_3B,anli,,200,2.2963478565216064,claim true/false/inconclusive,0.325
bigscience/T0_3B,anli,,200,2.0347771644592285,guaranteed true,0.29
bigscience/T0_3B,super_glue,wsc.fixed,104,0.6836185455322266,does the pronoun refer to,0.6826923076923077
bigscience/T0_3B,super_glue,wsc.fixed,104,0.6365964412689209,by p they mean,0.625
bigscience/T0_3B,super_glue,wsc.fixed,104,1.1085186004638672,in other words,0.6634615384615384
bigscience/T0_3B,super_glue,wsc.fixed,104,0.9762425422668457,I think they mean,0.6634615384615384
bigscience/T0_3B,super_glue,wsc.fixed,104,0.6382005214691162,does p stand for,0.6634615384615384
bigscience/T0_3B,super_glue,wsc.fixed,104,0.7927656173706055,GPT-3 Style,0.5673076923076923
bigscience/T0_3B,super_glue,wsc.fixed,104,0.7105133533477783,replaced with,0.6346153846153846
bigscience/T0_3B,super_glue,wsc.fixed,104,0.7794272899627686,p is/are r,0.625
bigscience/T0_3B,super_glue,wsc.fixed,104,0.8306336402893066,the pronoun refers to,0.6442307692307693
bigscience/T0_3B,super_glue,wsc.fixed,104,1.0746548175811768,Who or what is/are,0.2403846153846154
bigscience/T0_3B,winogrande,winogrande_xl,200,1.1445386409759521,does underscore refer to,0.46
bigscience/T0_3B,winogrande,winogrande_xl,200,1.1100659370422363,stand for,0.465
bigscience/T0_3B,winogrande,winogrande_xl,200,1.110926866531372,underscore refer to,0.515
bigscience/T0_3B,winogrande,winogrande_xl,200,1.1359643936157227,fill in the blank,0.475
bigscience/T0_3B,winogrande,winogrande_xl,200,1.0666158199310303,Replace,0.505
bigscience/T0_3B,super_glue,wic,200,0.8352046012878418,question-context-meaning-with-label,0.49
bigscience/T0_3B,super_glue,wic,200,0.7853190898895264,question-context-meaning,0.495
bigscience/T0_3B,super_glue,wic,200,0.9194519519805908,grammar_homework,0.5
bigscience/T0_3B,super_glue,wic,200,1.185863733291626,affirmation_true_or_false,0.465
bigscience/T0_3B,super_glue,wic,200,0.8465561866760254,GPT-3-prompt,0.49
