checkpoint,dataset_name,subset_name,test_size,time,prompt_name,accuracy
google/flan-t5-xxl,super_glue,rte,200,17.861953735351562,MNLI crowdsource,0.68
google/flan-t5-xxl,super_glue,rte,200,43.9282648563385,guaranteed true,0.41
google/flan-t5-xxl,super_glue,rte,200,70.35938596725464,can we infer,0.44
google/flan-t5-xxl,super_glue,rte,200,20.587523221969604,GPT-3 style,0.475
google/flan-t5-xxl,super_glue,rte,200,37.90078592300415,does this imply,0.53
google/flan-t5-xxl,super_glue,rte,200,33.21978521347046,should assume,0.715
google/flan-t5-xxl,super_glue,rte,200,49.3900682926178,does it follow that,0.74
google/flan-t5-xxl,super_glue,rte,200,48.38145399093628,based on the previous passage,0.775
google/flan-t5-xxl,super_glue,rte,200,54.633522510528564,justified in saying,0.6
google/flan-t5-xxl,super_glue,rte,200,65.88526606559753,must be true,0.73
google/flan-t5-xxl,super_glue,cb,56,28.61922812461853,can we infer,0.6071428571428571
google/flan-t5-xxl,super_glue,cb,56,15.681828022003174,based on the previous passage,0.8035714285714286
google/flan-t5-xxl,super_glue,cb,56,4.132878065109253,claim true/false/inconclusive,0.8392857142857143
google/flan-t5-xxl,super_glue,cb,56,20.20823574066162,does it follow that,0.5535714285714286
google/flan-t5-xxl,super_glue,cb,56,28.611558437347412,justified in saying,0.4107142857142857
google/flan-t5-xxl,super_glue,cb,56,24.132916688919067,always/sometimes/never,0.14285714285714285
google/flan-t5-xxl,super_glue,cb,56,5.047037124633789,GPT-3 style,0.42857142857142855
google/flan-t5-xxl,super_glue,cb,56,6.148617267608643,consider always/sometimes/never,0.26785714285714285
google/flan-t5-xxl,super_glue,cb,56,29.050870418548584,guaranteed true,0.48214285714285715
google/flan-t5-xxl,super_glue,cb,56,29.072073459625244,must be true,0.35714285714285715
google/flan-t5-xxl,super_glue,cb,56,29.080525398254395,guaranteed/possible/impossible,0.125
google/flan-t5-xxl,super_glue,cb,56,29.00898241996765,does this imply,0.625
google/flan-t5-xxl,super_glue,cb,56,5.2888078689575195,MNLI crowdsource,0.375
google/flan-t5-xxl,super_glue,cb,56,28.984400987625122,should assume,0.6964285714285714
google/flan-t5-xxl,super_glue,cb,56,5.262995719909668,take the following as truth,0.8035714285714286
google/flan-t5-xxl,anli,,200,19.727299690246582,MNLI crowdsource,0.215
google/flan-t5-xxl,anli,,200,42.78109359741211,should assume,0.42
google/flan-t5-xxl,anli,,200,48.24039173126221,does it follow that,0.415
google/flan-t5-xxl,anli,,200,36.2563533782959,GPT-3 style,0.295
google/flan-t5-xxl,anli,,200,47.71980929374695,based on the previous passage,0.45
google/flan-t5-xxl,anli,,200,51.8386070728302,justified in saying,0.405
google/flan-t5-xxl,anli,,200,31.756978273391724,take the following as truth,0.39
google/flan-t5-xxl,anli,,200,70.01689219474792,must be true,0.19
google/flan-t5-xxl,anli,,200,67.10200929641724,can we infer,0.37
google/flan-t5-xxl,anli,,200,71.19116401672363,guaranteed/possible/impossible,0.11
google/flan-t5-xxl,anli,,200,57.993521213531494,always/sometimes/never,0.04
google/flan-t5-xxl,anli,,200,44.26980638504028,does this imply,0.465
google/flan-t5-xxl,anli,,200,26.652806520462036,consider always/sometimes/never,0.32
google/flan-t5-xxl,anli,,200,14.514851331710815,claim true/false/inconclusive,0.485
google/flan-t5-xxl,anli,,200,63.95747756958008,guaranteed true,0.365
google/flan-t5-xxl,super_glue,wsc.fixed,104,2.3402605056762695,does the pronoun refer to,0.6346153846153846
