model_name,dataset_name,dataset_subset_name,dataset_size,prompt_name,accuracy
bigscience/T0_3B,super_glue,rte,100,MNLI crowdsource,0.61
bigscience/T0_3B,super_glue,rte,100,guaranteed true,0.65
bigscience/T0_3B,super_glue,rte,100,can we infer,0.54
bigscience/T0_3B,super_glue,rte,100,GPT-3 style,0.64
bigscience/T0_3B,super_glue,rte,100,does this imply,0.64
bigscience/T0_3B,super_glue,rte,100,should assume,0.66
bigscience/T0_3B,super_glue,rte,100,does it follow that,0.62
bigscience/T0_3B,super_glue,rte,100,based on the previous passage,0.68
bigscience/T0_3B,super_glue,rte,100,justified in saying,0.62
bigscience/T0_3B,super_glue,rte,100,must be true,0.71
bigscience/T0_3B,super_glue,cb,56,can we infer,0.42857142857142855
bigscience/T0_3B,super_glue,cb,56,based on the previous passage,0.4642857142857143
bigscience/T0_3B,super_glue,cb,56,claim true/false/inconclusive,0.05357142857142857
bigscience/T0_3B,super_glue,cb,56,does it follow that,0.5892857142857143
bigscience/T0_3B,super_glue,cb,56,justified in saying,0.5535714285714286
bigscience/T0_3B,super_glue,cb,56,always/sometimes/never,0.0
bigscience/T0_3B,super_glue,cb,56,GPT-3 style,0.5178571428571429
bigscience/T0_3B,super_glue,cb,56,consider always/sometimes/never,0.0
bigscience/T0_3B,super_glue,cb,56,guaranteed true,0.48214285714285715
bigscience/T0_3B,super_glue,cb,56,must be true,0.5
bigscience/T0_3B,super_glue,cb,56,guaranteed/possible/impossible,0.0
bigscience/T0_3B,super_glue,cb,56,does this imply,0.6071428571428571
bigscience/T0_3B,super_glue,cb,56,MNLI crowdsource,0.0
bigscience/T0_3B,super_glue,cb,56,should assume,0.6071428571428571
bigscience/T0_3B,super_glue,cb,56,take the following as truth,0.125
bigscience/T0_3B,anli,,100,MNLI crowdsource,0.0
bigscience/T0_3B,anli,,100,should assume,0.39
bigscience/T0_3B,anli,,100,does it follow that,0.4
bigscience/T0_3B,anli,,100,GPT-3 style,0.36
bigscience/T0_3B,anli,,100,based on the previous passage,0.38
bigscience/T0_3B,anli,,100,justified in saying,0.36
bigscience/T0_3B,anli,,100,take the following as truth,0.28
bigscience/T0_3B,anli,,100,must be true,0.35
bigscience/T0_3B,anli,,100,can we infer,0.39
bigscience/T0_3B,anli,,100,guaranteed/possible/impossible,0.0
bigscience/T0_3B,anli,,100,always/sometimes/never,0.0
bigscience/T0_3B,anli,,100,does this imply,0.38
bigscience/T0_3B,anli,,100,consider always/sometimes/never,0.0
bigscience/T0_3B,anli,,100,claim true/false/inconclusive,0.12
bigscience/T0_3B,anli,,100,guaranteed true,0.33
bigscience/T0_3B,super_glue,wsc.fixed,100,does the pronoun refer to,0.67
bigscience/T0_3B,super_glue,wsc.fixed,100,by p they mean,0.61
bigscience/T0_3B,super_glue,wsc.fixed,100,in other words,0.68
bigscience/T0_3B,super_glue,wsc.fixed,100,I think they mean,0.66
bigscience/T0_3B,super_glue,wsc.fixed,100,does p stand for,0.66
bigscience/T0_3B,super_glue,wsc.fixed,100,GPT-3 Style,0.52
bigscience/T0_3B,super_glue,wsc.fixed,100,replaced with,0.52
bigscience/T0_3B,super_glue,wsc.fixed,100,p is/are r,0.62
bigscience/T0_3B,super_glue,wsc.fixed,100,the pronoun refers to,0.62
bigscience/T0_3B,super_glue,wsc.fixed,100,Who or what is/are,0.24
bigscience/T0_3B,winogrande,winogrande_xl,100,does underscore refer to,0.46
bigscience/T0_3B,winogrande,winogrande_xl,100,stand for,0.49
bigscience/T0_3B,winogrande,winogrande_xl,100,underscore refer to,0.53
bigscience/T0_3B,winogrande,winogrande_xl,100,fill in the blank,0.47
bigscience/T0_3B,winogrande,winogrande_xl,100,Replace,0.52
bigscience/T0_3B,super_glue,wic,100,question-context-meaning-with-label,0.3
bigscience/T0_3B,super_glue,wic,100,question-context-meaning,0.0
bigscience/T0_3B,super_glue,wic,100,grammar_homework,0.08
bigscience/T0_3B,super_glue,wic,100,affirmation_true_or_false,0.44
bigscience/T0_3B,super_glue,wic,100,GPT-3-prompt,0.0
bigscience/T0_3B,super_glue,wic,100,same_sense,0.47
bigscience/T0_3B,super_glue,wic,100,question-context,0.0
bigscience/T0_3B,super_glue,wic,100,GPT-3-prompt-with-label,0.45
bigscience/T0_3B,super_glue,wic,100,polysemous,0.46
bigscience/T0_3B,super_glue,wic,100,similar-sense,0.04
bigscience/T0_3B,hellaswag,,100,Predict ending with hint,0.0
bigscience/T0_3B,hellaswag,,100,Randomized prompts template,0.01
bigscience/T0_3B,hellaswag,,100,complete_first_then,0.0
bigscience/T0_3B,hellaswag,,100,if_begins_how_continues,0.02
bigscience/T0_3B,super_glue,copa,100,exercise,0.81
bigscience/T0_3B,super_glue,copa,48,"…What could happen next, C1 or C2?",0.6458333333333334
bigscience/T0_3B,super_glue,copa,100,i_am_hesitating,0.77
bigscience/T0_3B,super_glue,copa,100,plausible_alternatives,0.84
bigscience/T0_3B,super_glue,copa,100,"C1 or C2? premise, so/because…",0.5
bigscience/T0_3B,super_glue,copa,48,"…As a result, C1 or C2?",0.5416666666666666
bigscience/T0_3B,super_glue,copa,100,best_option,0.69
bigscience/T0_3B,super_glue,copa,52,…which may be caused by,0.5769230769230769
bigscience/T0_3B,super_glue,copa,100,more likely,0.79
bigscience/T0_3B,super_glue,copa,100,cause_effect,0.73
bigscience/T0_3B,super_glue,copa,52,…why? C1 or C2,0.6538461538461539
bigscience/T0_3B,super_glue,copa,100,choose,0.79
