model_name,dataset_name,dataset_subset_name,dataset_size,prompt_name,accuracy
bigscience/T0,super_glue,rte,100,MNLI crowdsource,0.88
bigscience/T0,super_glue,rte,100,guaranteed true,0.8
bigscience/T0,super_glue,rte,100,can we infer,0.77
bigscience/T0,super_glue,rte,100,GPT-3 style,0.85
bigscience/T0,super_glue,rte,100,does this imply,0.82
bigscience/T0,super_glue,rte,100,should assume,0.83
bigscience/T0,super_glue,rte,100,does it follow that,0.69
bigscience/T0,super_glue,rte,100,based on the previous passage,0.89
bigscience/T0,super_glue,rte,100,justified in saying,0.74
bigscience/T0,super_glue,rte,100,must be true,0.84
bigscience/T0,super_glue,cb,56,can we infer,0.7678571428571429
bigscience/T0,super_glue,cb,56,based on the previous passage,0.8035714285714286
bigscience/T0,super_glue,cb,56,claim true/false/inconclusive,0.017857142857142856
bigscience/T0,super_glue,cb,56,does it follow that,0.7321428571428571
bigscience/T0,super_glue,cb,56,justified in saying,0.7678571428571429
bigscience/T0,super_glue,cb,56,always/sometimes/never,0.0
bigscience/T0,super_glue,cb,56,GPT-3 style,0.7678571428571429
bigscience/T0,super_glue,cb,56,consider always/sometimes/never,0.0
bigscience/T0,super_glue,cb,56,guaranteed true,0.7678571428571429
bigscience/T0,super_glue,cb,56,must be true,0.7857142857142857
bigscience/T0,super_glue,cb,56,guaranteed/possible/impossible,0.0
bigscience/T0,super_glue,cb,56,does this imply,0.8035714285714286
bigscience/T0,super_glue,cb,56,MNLI crowdsource,0.0
bigscience/T0,super_glue,cb,56,should assume,0.7678571428571429
bigscience/T0,super_glue,cb,56,take the following as truth,0.0
bigscience/T0,anli,,100,MNLI crowdsource,0.0
bigscience/T0,anli,,100,should assume,0.45
bigscience/T0,anli,,100,does it follow that,0.49
bigscience/T0,anli,,100,GPT-3 style,0.51
bigscience/T0,anli,,100,based on the previous passage,0.46
bigscience/T0,anli,,100,justified in saying,0.47
bigscience/T0,anli,,100,take the following as truth,0.07
bigscience/T0,anli,,100,must be true,0.49
bigscience/T0,anli,,100,can we infer,0.44
bigscience/T0,anli,,100,guaranteed/possible/impossible,0.0
bigscience/T0,anli,,100,always/sometimes/never,0.0
bigscience/T0,anli,,100,does this imply,0.47
bigscience/T0,anli,,100,consider always/sometimes/never,0.0
bigscience/T0,anli,,100,claim true/false/inconclusive,0.04
bigscience/T0,anli,,100,guaranteed true,0.46
bigscience/T0,super_glue,wsc.fixed,100,does the pronoun refer to,0.61
bigscience/T0,super_glue,wsc.fixed,100,by p they mean,0.6
bigscience/T0,super_glue,wsc.fixed,100,in other words,0.68
bigscience/T0,super_glue,wsc.fixed,100,I think they mean,0.68
bigscience/T0,super_glue,wsc.fixed,100,does p stand for,0.64
bigscience/T0,super_glue,wsc.fixed,100,GPT-3 Style,0.34
bigscience/T0,super_glue,wsc.fixed,100,replaced with,0.52
bigscience/T0,super_glue,wsc.fixed,100,p is/are r,0.5
bigscience/T0,super_glue,wsc.fixed,100,the pronoun refers to,0.56
bigscience/T0,super_glue,wsc.fixed,100,Who or what is/are,0.01
bigscience/T0,winogrande,winogrande_xl,100,does underscore refer to,0.61
bigscience/T0,winogrande,winogrande_xl,100,stand for,0.62
bigscience/T0,winogrande,winogrande_xl,100,underscore refer to,0.65
bigscience/T0,winogrande,winogrande_xl,100,fill in the blank,0.57
bigscience/T0,winogrande,winogrande_xl,100,Replace,0.58
bigscience/T0,super_glue,wic,100,question-context-meaning-with-label,0.01
bigscience/T0,super_glue,wic,100,question-context-meaning,0.0
bigscience/T0,super_glue,wic,100,grammar_homework,0.0
bigscience/T0,super_glue,wic,100,affirmation_true_or_false,0.52
bigscience/T0,super_glue,wic,100,GPT-3-prompt,0.0
bigscience/T0,super_glue,wic,100,same_sense,0.63
bigscience/T0,super_glue,wic,100,question-context,0.0
bigscience/T0,super_glue,wic,100,GPT-3-prompt-with-label,0.49
bigscience/T0,super_glue,wic,100,polysemous,0.62
bigscience/T0,super_glue,wic,100,similar-sense,0.0
bigscience/T0,hellaswag,,100,Predict ending with hint,0.03
bigscience/T0,hellaswag,,100,Randomized prompts template,0.02
bigscience/T0,hellaswag,,100,complete_first_then,0.04
bigscience/T0,hellaswag,,100,if_begins_how_continues,0.02
bigscience/T0,super_glue,copa,100,exercise,0.91
bigscience/T0,super_glue,copa,48,"…What could happen next, C1 or C2?",0.875
bigscience/T0,super_glue,copa,100,i_am_hesitating,0.94
bigscience/T0,super_glue,copa,100,plausible_alternatives,0.94
bigscience/T0,super_glue,copa,100,"C1 or C2? premise, so/because…",0.31
bigscience/T0,super_glue,copa,48,"…As a result, C1 or C2?",0.6875
bigscience/T0,super_glue,copa,100,best_option,0.86
bigscience/T0,super_glue,copa,52,…which may be caused by,0.6346153846153846
bigscience/T0,super_glue,copa,100,more likely,0.93
bigscience/T0,super_glue,copa,100,cause_effect,0.93
bigscience/T0,super_glue,copa,52,…why? C1 or C2,0.7884615384615384
bigscience/T0,super_glue,copa,100,choose,0.95
