model_name,dataset_name,dataset_subset_name,dataset_size,prompt_name,accuracy
google/flan-t5-xxl,super_glue,rte,100,MNLI crowdsource,0.26
google/flan-t5-xxl,super_glue,rte,100,guaranteed true,0.34
google/flan-t5-xxl,super_glue,rte,100,can we infer,0.29
google/flan-t5-xxl,super_glue,rte,100,GPT-3 style,0.45
google/flan-t5-xxl,super_glue,rte,100,does this imply,0.41
google/flan-t5-xxl,super_glue,rte,100,should assume,0.64
google/flan-t5-xxl,super_glue,rte,100,does it follow that,0.43
google/flan-t5-xxl,super_glue,rte,100,based on the previous passage,0.68
google/flan-t5-xxl,super_glue,rte,100,justified in saying,0.52
google/flan-t5-xxl,super_glue,rte,100,must be true,0.63
google/flan-t5-xxl,super_glue,cb,56,can we infer,0.4107142857142857
google/flan-t5-xxl,super_glue,cb,56,based on the previous passage,0.6428571428571429
google/flan-t5-xxl,super_glue,cb,56,claim true/false/inconclusive,0.08928571428571429
google/flan-t5-xxl,super_glue,cb,56,does it follow that,0.44642857142857145
google/flan-t5-xxl,super_glue,cb,56,justified in saying,0.39285714285714285
google/flan-t5-xxl,super_glue,cb,56,always/sometimes/never,0.017857142857142856
google/flan-t5-xxl,super_glue,cb,56,GPT-3 style,0.44642857142857145
google/flan-t5-xxl,super_glue,cb,56,consider always/sometimes/never,0.017857142857142856
google/flan-t5-xxl,super_glue,cb,56,guaranteed true,0.42857142857142855
google/flan-t5-xxl,super_glue,cb,56,must be true,0.32142857142857145
google/flan-t5-xxl,super_glue,cb,56,guaranteed/possible/impossible,0.0
google/flan-t5-xxl,super_glue,cb,56,does this imply,0.42857142857142855
google/flan-t5-xxl,super_glue,cb,56,MNLI crowdsource,0.17857142857142858
google/flan-t5-xxl,super_glue,cb,56,should assume,0.6428571428571429
google/flan-t5-xxl,super_glue,cb,56,take the following as truth,0.48214285714285715
google/flan-t5-xxl,anli,,100,MNLI crowdsource,0.15
google/flan-t5-xxl,anli,,100,should assume,0.41
google/flan-t5-xxl,anli,,100,does it follow that,0.28
google/flan-t5-xxl,anli,,100,GPT-3 style,0.28
google/flan-t5-xxl,anli,,100,based on the previous passage,0.41
google/flan-t5-xxl,anli,,100,justified in saying,0.37
google/flan-t5-xxl,anli,,100,take the following as truth,0.28
google/flan-t5-xxl,anli,,100,must be true,0.17
google/flan-t5-xxl,anli,,100,can we infer,0.32
google/flan-t5-xxl,anli,,100,guaranteed/possible/impossible,0.0
google/flan-t5-xxl,anli,,100,always/sometimes/never,0.0
google/flan-t5-xxl,anli,,100,does this imply,0.45
google/flan-t5-xxl,anli,,100,consider always/sometimes/never,0.06
google/flan-t5-xxl,anli,,100,claim true/false/inconclusive,0.1
google/flan-t5-xxl,anli,,100,guaranteed true,0.39
google/flan-t5-xxl,super_glue,wsc.fixed,100,does the pronoun refer to,0.63
google/flan-t5-xxl,super_glue,wsc.fixed,100,by p they mean,0.58
google/flan-t5-xxl,super_glue,wsc.fixed,100,in other words,0.23
google/flan-t5-xxl,super_glue,wsc.fixed,100,I think they mean,0.47
google/flan-t5-xxl,super_glue,wsc.fixed,100,does p stand for,0.6
google/flan-t5-xxl,super_glue,wsc.fixed,100,GPT-3 Style,0.02
google/flan-t5-xxl,super_glue,wsc.fixed,100,replaced with,0.58
google/flan-t5-xxl,super_glue,wsc.fixed,100,p is/are r,0.56
google/flan-t5-xxl,super_glue,wsc.fixed,100,the pronoun refers to,0.29
google/flan-t5-xxl,super_glue,wsc.fixed,100,Who or what is/are,0.0
google/flan-t5-xxl,winogrande,winogrande_xl,100,does underscore refer to,0.34
google/flan-t5-xxl,winogrande,winogrande_xl,100,stand for,0.45
google/flan-t5-xxl,winogrande,winogrande_xl,100,underscore refer to,0.46
google/flan-t5-xxl,winogrande,winogrande_xl,100,fill in the blank,0.78
google/flan-t5-xxl,winogrande,winogrande_xl,100,Replace,0.51
google/flan-t5-xxl,super_glue,wic,100,question-context-meaning-with-label,0.11
google/flan-t5-xxl,super_glue,wic,100,question-context-meaning,0.0
google/flan-t5-xxl,super_glue,wic,100,grammar_homework,0.02
google/flan-t5-xxl,super_glue,wic,100,affirmation_true_or_false,0.31
google/flan-t5-xxl,super_glue,wic,100,GPT-3-prompt,0.0
google/flan-t5-xxl,super_glue,wic,100,same_sense,0.37
google/flan-t5-xxl,super_glue,wic,100,question-context,0.01
google/flan-t5-xxl,super_glue,wic,100,GPT-3-prompt-with-label,0.0
google/flan-t5-xxl,super_glue,wic,100,polysemous,0.4
google/flan-t5-xxl,super_glue,wic,100,similar-sense,0.0
google/flan-t5-xxl,hellaswag,,100,Predict ending with hint,0.02
google/flan-t5-xxl,hellaswag,,100,Randomized prompts template,0.02
google/flan-t5-xxl,hellaswag,,100,complete_first_then,0.01
google/flan-t5-xxl,hellaswag,,100,if_begins_how_continues,0.05
